mRNA,logFC,logCPM,F,PValue,FDR
DNAJB9,-1.485789468,6.674190092,4157.35188,2.94E-05,0.000598405
GINS2,-1.487282676,5.332117863,246.0174154,0.002638143,0.017117345
HSPE1,-1.494859293,7.934265342,2492.309953,5.73E-05,0.000913474
CYTH1,-1.496812639,5.227774584,52345.40225,0.00377842,0.023095729
FBXL6,-1.496812639,5.227774584,52345.40225,0.00377842,0.023095729
SAMD1,-1.499030311,6.191337572,39719.16085,2.11E-05,0.000486641
HIST1H2BK,-1.504108902,8.120764958,6630.424037,1.60E-05,0.000413041
HSPB8,-1.505417143,5.713239429,321.366384,0.000827624,0.006825112
POLD1,-1.508311294,5.115293415,173.8718587,0.005420213,0.030859974
IFIT1,-1.509760177,6.075847317,40511.01502,4.21E-05,0.000764834
RPA2,-1.510189959,6.647471435,2301.383105,6.36E-05,0.000977039
FANCI,-1.513454279,5.633798346,946.4394359,0.000553243,0.004904886
TTK,-1.522460339,4.993296269,60690.02741,0.007788673,0.041603149
AKAP1,-1.522460339,4.993296269,60690.02741,0.007788673,0.041603149
CLN6,-1.522460339,4.993296269,60690.02741,0.007788673,0.041603149
CPEB4,-1.522460339,4.993296269,60690.02741,0.007788673,0.041603149
EIF1AD,-1.522460339,4.993296269,60690.02741,0.007788673,0.041603149
HIST1H2BL,-1.522646456,5.549727464,273.9036762,0.001018402,0.007993837
RPF2,-1.531185123,6.660897231,1595.490489,0.000102609,0.001376325
LPCAT1,-1.532745428,6.42953394,41998.85918,2.05E-06,0.000111322
DOCK9,-1.540295568,4.860023296,113.4697392,0.011211914,0.053317683
MTF2,-1.540295568,4.860023296,113.4697392,0.011211914,0.053317683
FOXRED2,-1.540295568,4.860023296,113.4697392,0.011211914,0.053317683
KCTD2,-1.542024453,6.095752161,1985.365879,7.71E-05,0.001113145
HLA-F,-1.542720591,7.819217815,2820.296695,4.88E-05,0.000821753
EBP,-1.545813469,6.53534691,3735.325886,3.38E-05,0.000662025
COA6,-1.550675363,6.280991961,426.5027337,0.000572878,0.00505114
HSPA9,-1.554228785,8.214852616,8048.287456,1.24E-05,0.000351427
B4GALT3,-1.558944825,5.660770683,47178.04897,0.000335173,0.003349907
ATP13A2,-1.558944825,5.660770683,47178.04897,0.000335173,0.003349907
SLC12A7,-1.560330742,5.263403786,554.9529193,0.002262862,0.015015819
TMEM194A,-1.560330742,5.263403786,554.9529193,0.002262862,0.015015819
ARRDC2,-1.560330742,5.263403786,554.9529193,0.002262862,0.015015819
TRAF2,-1.560330742,5.263403786,554.9529193,0.002262862,0.015015819
TPRN,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
SLC37A4,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
RAD51AP1,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
RPP40,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
PIM2,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
AGTPBP1,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
SUV39H2,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
BRSK1,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
HAUS8,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
SDE2,-1.563476315,4.713175284,78811.61239,0.016167528,0.072265484
CCDC86,-1.567552466,5.90590795,509.0003338,0.000455125,0.004239378
PDRG1,-1.570599557,6.348907735,2974.06035,4.55E-05,0.000788378
FUCA1,-1.577963713,5.153772855,138.3759485,0.003222788,0.020119765
CHKA,-1.577963713,5.153772855,138.3759485,0.003222788,0.020119765
EXOSC5,-1.577963713,5.153772855,138.3759485,0.003222788,0.020119765
MANF,-1.580655536,8.780335681,7668.802428,1.32E-05,0.000367044
CDC6,-1.585318797,5.490832629,52299.92263,0.00067056,0.005712853
TOMM40,-1.592397372,6.700441435,910.7756381,0.00021324,0.002403709
MSH2,-1.59274947,5.99338269,45228.98454,3.10E-05,0.000622187
DBNDD1,-1.594833334,4.549670109,65.23585846,0.02334588,0.096509799
DBF4,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
USP18,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
ABCA7,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
CCNE2,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
BRI3BP,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
TRMT61A,-1.594833653,4.549669928,68.23887059,0.02334588,0.096509799
FLI1,-1.5995589,5.035121737,396.4998539,0.004591189,0.026973068
SAAL1,-1.5995589,5.035121737,396.4998539,0.004591189,0.026973068
BCL2L12,-1.5995589,5.035121737,396.4998539,0.004591189,0.026973068
NUDT14,-1.5995589,5.035121737,396.4998539,0.004591189,0.026973068
PKMYT1,-1.5995589,5.035121737,396.4998539,0.004591189,0.026973068
MFSD3,-1.601766035,5.397716788,297.1317323,0.000948433,0.007621211
DCTPP1,-1.603878938,5.92828105,789.8976025,0.000256743,0.002693601
HSPD1,-1.611675581,8.831764877,20366.36976,3.68E-06,0.00016324
CLN3,-1.613278442,6.429543185,1201.322213,0.000148598,0.001804629
C9orf40,-1.618170936,5.606321573,326.7415725,0.000809984,0.006709734
PGAM5,-1.621169844,5.298174495,59189.7272,0.001341039,0.010060135
RFC5,-1.621169844,5.298174495,59189.7272,0.001341039,0.010060135
MYO19,-1.621169844,5.298174495,59189.7272,0.001341039,0.010060135
CACYBP,-1.626499685,6.633938468,447.1539464,0.000538702,0.004802429
ATAD2,-1.626524493,6.014449592,1973.460113,7.77E-05,0.001120665
AMDHD2,-1.626623421,4.905832279,93.37614169,0.006539662,0.036053563
MICB,-1.630163126,5.788543423,559.2955226,0.000402577,0.003855932
NARF,-1.634327322,6.592511942,4550.519299,2.61E-05,0.000550953
CLUH,-1.634701463,6.153870973,46854.55784,5.75E-06,0.000216357
DHX37,-1.635562585,5.520585263,934.4140296,0.000398858,0.003823153
DCAF15,-1.635562585,5.520585263,934.4140296,0.000398858,0.003823153
UAP1L1,-1.635562585,5.520585263,934.4140296,0.000398858,0.003823153
KCNK1,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
SUV39H1,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
GCHFR,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
TRAIP,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
MT1A,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
IGF2BP1,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
ZNF92,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
PLK4,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
SYNE2,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
PLCL2,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
C1orf112,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
HOXD8,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
TXNDC16,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
KLHL15,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
MFSD9,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
DDIT4L,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
C19orf40,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
CEP128,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
ZBTB9,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
GPAT2,-1.639633476,4.365238912,131133.432,0.03372257,0.127081569
CENPW,-1.652352708,6.227883447,252.2954198,0.001132931,0.008717407
TELO2,-1.653538419,5.883192017,1679.288778,9.60E-05,0.001310194
MLF1IP,-1.655772204,5.429430758,250.7096182,0.00114223,0.008773228
CD320,-1.660321389,6.982911843,4216.10017,2.88E-05,0.000591277
C2CD2L,-1.661544541,4.763806652,264.2129139,0.00930634,0.04757047
CNNM4,-1.661544541,4.763806652,264.2129139,0.00930634,0.04757047
CCDC137,-1.663661482,5.633807599,186.6969398,0.001673093,0.011705286
MLLT4,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
ARNTL,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
APLP1,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
MMD,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
SLC25A13,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
DTL,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
ACD,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
MCM8,-1.67274544,5.075769015,69434.67492,0.002674172,0.0172468
C16orf87,-1.67274544,5.075769015,117.4961127,0.003039253,0.019206828
REEP4,-1.673897553,5.972013183,305.6528178,0.000883292,0.007201148
TIMM10,-1.674260661,6.520713521,294.4016197,0.00092736,0.00748458
PDXP,-1.679546812,5.332127119,728.0870422,0.000786939,0.006535847
SDF2L1,-1.68205709,6.883356761,56642.9332,9.68E-07,7.95E-05
UBE2O,-1.684115296,5.549736899,57146.59548,0.000235263,0.002581875
TEX30,-1.684115296,5.549736899,57146.59548,0.000235263,0.002581875
POP7,-1.699545221,6.972189579,2297.265743,6.38E-05,0.000978159
SLC25A33,-1.707711028,5.836648288,256.5211205,0.001108793,0.008593312
KCTD6,-1.707926087,5.22778384,184.6360168,0.001697275,0.011848002
WRAP53,-1.708075952,4.950231692,148.0428431,0.003765806,0.023040501
INO80C,-1.708075952,4.950231692,148.0428431,0.003765806,0.023040501
LPAR2,-1.708924947,4.153728362,29.52197404,0.04857817,0.166937209
BATF3,-1.708924947,4.153728362,29.52197404,0.04857817,0.166937209
CCNJ,-1.708924947,4.153728362,29.52197404,0.04857817,0.166937209
MARS2,-1.708924947,4.153728362,29.52197404,0.04857817,0.166937209
SLC39A8,-1.708925266,4.153728181,30.32023463,0.04857817,0.166937209
XRCC2,-1.708925266,4.153728181,30.32023463,0.04857817,0.166937209
KLHL25,-1.708925266,4.153728181,30.32023463,0.04857817,0.166937209
C16orf59,-1.708925266,4.153728181,30.32023463,0.04857817,0.166937209
ACSL1,-1.720495736,6.332242384,51590.32113,1.09E-06,8.00E-05
MRPS12,-1.720495736,6.332242384,927.8427403,0.000208139,0.002354459
UBE2T,-1.721782353,6.209740244,267.2223888,0.001051554,0.00821399
SNX8,-1.731087065,5.578311341,1155.180733,0.000156389,0.001862348
YRDC,-1.731087065,5.578311341,1155.180733,0.000156389,0.001862348
HES4,-1.734475874,6.281010456,555.7954228,0.000405881,0.003876047
DNAJB1,-1.734892079,8.149725817,6731.41913,1.57E-05,0.000407618
TMEM106C,-1.735436704,7.720128007,1503.89735,0.000110841,0.001445651
TYRO3,-1.735653204,5.365299274,65401.80263,0.000457525,0.004249437
PQLC2,-1.735653204,5.365299274,65401.80263,0.000457525,0.004249437
HIST1H2BC,-1.742397859,5.115302671,546.4400501,0.001540414,0.01095588
PMAIP1,-1.744975864,5.860112548,492.3988224,0.000475199,0.004375709
ADCK3,-1.753368703,4.812721546,90423.01838,0.005283537,0.030242319
RRM2,-1.757582498,7.315597105,5107.391543,2.25E-05,0.000503536
C19orf48,-1.759883826,5.950322076,545.2390802,0.000416144,0.003941883
PSMD11,-1.769655725,6.633956954,1844.450286,8.49E-05,0.001191445
ESCO2,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
RRAD,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
HSPA1L,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
CGREF1,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
MTFP1,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
ACTR5,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
ZNF101,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
IRX2,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
FAM46B,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
MTFR2,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
ABTB2,-1.774351222,4.429374545,158.7505061,0.018649682,0.080861352
RNASEH2A,-1.777047635,6.245819707,184.5671149,0.001698094,0.011848002
UBE2S,-1.788703865,8.237540542,3790.309369,3.31E-05,0.000653295
TMEM54,-1.789772607,6.647508765,1021.419469,0.000183623,0.002123795
MCM2,-1.793658849,5.972022434,2276.648758,6.45E-05,0.000982701
CMSS1,-1.804497697,6.055692258,392.5154125,0.000638211,0.005480782
FAM213A,-1.806625634,5.520594517,448.6929402,0.000536299,0.004790963
HIST3H2A,-1.808841491,5.153782292,41.51153695,0.011374133,0.053909871
PIK3R3,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
MLLT11,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
GINS4,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
ZNF367,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
FAM111B,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
TSEN54,-1.808841811,5.153782111,77377.90819,0.000878238,0.007168815
C11orf96,-1.813563654,4.66071201,91.08191078,0.007365811,0.039773527
YOD1,-1.813563654,4.66071201,91.08191078,0.007365811,0.039773527
MPND,-1.813563654,4.66071201,91.08191078,0.007365811,0.039773527
NMB,-1.813563974,4.660711829,95.27398533,0.007365811,0.039773527
MB21D1,-1.813563974,4.660711829,95.27398533,0.007365811,0.039773527
PIP4K2C,-1.816736545,5.905926813,554.5608178,0.000407058,0.003879345
TK1,-1.826301818,7.095978996,3038.4794,4.42E-05,0.000771137
BEX4,-1.830273154,6.281019703,343.046128,0.000760334,0.006359827
LYAR,-1.832507038,5.738798496,579.2909017,0.000384576,0.003727081
SMC2,-1.842603438,5.836657539,1964.014011,7.82E-05,0.001126446
NFKBIB,-1.85132159,5.928299733,355.6191624,0.00072559,0.006128953
GMNN,-1.852983972,6.738959503,64716.51811,8.13E-07,7.69E-05
DOHH,-1.853597085,5.549746334,325.7831814,0.00081308,0.006722405
CKS2,-1.866322922,7.900820695,1111.043114,0.000164543,0.001950427
MCOLN1,-1.86754683,6.700478942,1069.995233,0.000172825,0.00202806
PENK,-1.87461455,4.227734058,29.00165878,0.025999595,0.105705825
CXCL16,-1.87461455,4.227734058,29.00165878,0.025999595,0.105705825
PSMC3IP,-1.883248229,5.332136555,309.5270439,0.000868964,0.007129494
SLC43A3,-1.883248229,5.332136555,309.5270439,0.000868964,0.007129494
HSPA1B,-1.890140969,8.465239315,57027.87056,9.59E-07,7.95E-05
C7orf43,-1.891959773,5.460472379,1151.902888,0.00015697,0.001867537
TJP2,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
MMP10,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
RAP1GAP,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
ZNF267,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
HOXA7,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
TAF5,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
HERC6,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
CLSPN,-1.897556507,4.490780384,144587.5419,0.010151814,0.049144522
IL6,-1.89908795,5.578320595,512.2530176,0.000451366,0.004210463
RCL1,-1.9116322,4.713184543,81.86277716,0.004827048,0.028040877
ELOVL4,-1.9116322,4.713184543,81.86277716,0.004827048,0.028040877
NET1,-1.912445176,6.460608742,1398.836422,0.000121829,0.001545123
MCM3,-1.913458671,6.917347996,1510.928057,0.000110168,0.001442724
ALDH1A3,-1.921149087,4.905841537,99937.64849,0.001641964,0.011525084
HIP1R,-1.921149087,4.905841537,99937.64849,0.001641964,0.011525084
RECQL4,-1.921149087,4.905841537,99937.64849,0.001641964,0.011525084
CCDC77,-1.921149087,4.905841537,99937.64849,0.001641964,0.011525084
SLC43A2,-1.921149087,4.905841537,99937.64849,0.001641964,0.011525084
DDX39A,-1.921455542,7.460880587,5870.43559,1.87E-05,0.000450666
ARRB2,-1.928013472,5.075778452,154.3180558,0.00213967,0.014390789
CDC45,-1.933199015,5.227793277,84555.05402,0.000277551,0.002873412
CDKN2D,-1.933199015,5.227793277,206.6178298,0.001467458,0.010844195
TMEM251,-1.937254078,5.36530871,253.2961575,0.001127131,0.008703996
SLC5A6,-1.937254078,5.36530871,253.2961575,0.001127131,0.008703996
VRK1,-1.940512483,5.490851319,322.4269732,0.00082409,0.006800326
HTRA2,-1.948948845,5.905936064,66473.98514,1.52E-06,9.29E-05
ORMDL2,-1.952697759,6.1538989,977.6357533,0.000194422,0.002224705
HSPA1A,-1.962482552,8.561562805,13658.52052,6.21E-06,0.000225169
MCM4,-1.978316261,6.505948577,5988.377443,1.82E-05,0.000445492
SNRNP25,-1.979541733,6.315391383,1451.226082,0.000116121,0.001496316
E2F1,-1.985979589,5.633826287,577.662024,0.000385989,0.003733156
CXCL1,-1.994457743,5.115311928,237.9305882,0.00122237,0.009278049
CCNE1,-1.998247648,4.950240949,544.4422687,0.000900639,0.007319399
KCTD13,-1.998247648,4.950240949,544.4422687,0.000900639,0.007319399
MX2,-2.011062978,4.549679368,261.8174067,0.005449662,0.030945525
CDC7,-2.011062978,4.549679368,261.8174067,0.005449662,0.030945525
LPHN1,-2.011062978,4.549679368,261.8174067,0.005449662,0.030945525
DHRS13,-2.011062978,4.549679368,261.8174067,0.005449662,0.030945525
RFC2,-2.012804631,6.03524137,834.9101143,0.000238847,0.00259905
GSKIP,-2.014750422,6.700497426,1320.715209,0.000131317,0.001652432
ESM1,-2.023219774,4.298128862,46.1238094,0.013687234,0.06337977
PPP1R13B,-2.023220094,4.298128681,47.37088576,0.013687234,0.06337977
CAMK1D,-2.023220094,4.298128681,47.37088576,0.013687234,0.06337977
GGH,-2.027165252,7.200842401,15800.94578,5.13E-06,0.000202263
RNF149,-2.032172778,7.086095374,2376.828099,6.10E-05,0.000953812
POLE,-2.039554798,5.429449629,296.0914617,0.000920496,0.007433844
MCM5,-2.041310649,6.549907766,1821.140101,8.63E-05,0.001202818
CHAC2,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
DTNB,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
POLE2,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
SPAG1,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
HIST1H2AI,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
CD3EAP,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
CEP72,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
ZNF530,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
DHRS11,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
ZSCAN16,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
ACOT4,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
MCOLN2,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
MT1M,-2.04575323,3.993262359,80.92188234,0.035148584,0.131112062
PINX1,-2.047682375,5.298193188,90955.8253,8.48E-05,0.001191445
CENPM,-2.060236225,5.78857136,2291.654172,6.40E-05,0.000978358
SLC9A3R1,-2.060236225,5.78857136,2291.654172,6.40E-05,0.000978358
CD55,-2.067485701,7.191627834,5008.543097,2.30E-05,0.000507714
DUSP23,-2.067933506,5.687276304,584.0134541,0.00038053,0.003694244
EPHB2,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
RAD9A,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
OAS3,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
HSPA4L,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
HELLS,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
RNMTL1,-2.071434188,4.993314964,107811.8551,0.00048928,0.004473364
NR2C2AP,-2.071434188,4.993314964,158.436822,0.002068181,0.014005097
GLA,-2.074805336,6.894822592,962.8987504,0.000198312,0.002261175
EZH2,-2.077074691,5.57833003,1680.611152,9.59E-05,0.001310194
PAFAH1B3,-2.087440207,5.905945496,641.7114236,0.000336581,0.003356166
TIGD5,-2.089783896,4.812730985,103.7064629,0.003567317,0.021898939
ZC3H12A,-2.089784215,4.812730804,107.3813531,0.003411544,0.021074149
ISG15,-2.095284886,7.674606044,3043.004351,4.42E-05,0.000771137
DOLPP1,-2.101688225,5.332145811,1156.833013,0.000156098,0.001862324
ATP6V0B,-2.107790268,7.988737326,9361.629455,1.02E-05,0.00030805
FANCA,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
HCN2,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
ZNF85,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
CRIP2,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
TONSL,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
CPNE7,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
ZNF232,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
SFMBT1,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
EXO5,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
RHPN2,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
NFKBID,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
ZNF778,-2.116286827,4.60626819,155214.9769,0.002889622,0.018360664
HIST1H2AD,-2.116286827,4.60626819,80.90557297,0.004899983,0.028387708
PEG10,-2.141086607,5.035140432,726.0861069,0.000286538,0.002953245
FSD1,-2.141086607,5.035140432,726.0861069,0.000286538,0.002953245
MPV17L2,-2.145481726,5.738817001,713.2848896,0.000293258,0.003005662
INA,-2.171236427,4.860041993,148.104653,0.002256124,0.015015819
MICA,-2.177839942,7.272595427,2969.74394,4.56E-05,0.000788814
C14orf80,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
DPYSL4,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
PKN3,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
MLF1,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
DSCC1,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
WDR62,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
RBM38,-2.214355053,4.660721269,393.277877,0.001515439,0.01095588
MMP3,-2.227035929,7.801335199,132503.2898,3.19E-07,7.03E-05
RAET1G,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
BEND3,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ABCA3,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CELSR2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
FAAH,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
APOC1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CDC25C,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CDH4,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CTH,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ERBB3,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
HSPA6,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ITPR1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
KCNG1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
NPTX1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CDK18,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ORC1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
F2RL1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
MPP2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
NFATC1,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
PRKCH,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ARID3B,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
RAP1GAP2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
NBEAL2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
MST4,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
KIF21A,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
CERS4,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
RNF122,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
PLXNA2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
SEMA6C,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
PCDH10,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
LIN9,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
ZDHHC23,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
HIST2H2AB,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
SAPCD2,-2.232970596,4.075729815,434963.521,0.017596644,0.077048163
PCSK1N,-2.232970596,4.075729815,29.12803789,0.017655211,0.077278318
LRWD1,-2.233359023,5.905954748,84260.66476,5.76E-07,7.51E-05
PIK3CB,-2.267461464,5.578339464,514.3094751,0.000449018,0.004197685
PLAGL2,-2.271048662,5.115321366,936.0328233,0.000205767,0.002339965
PNMAL1,-2.281142805,4.429383985,64.14459753,0.006581619,0.036269341
C11orf82,-2.281143124,4.429383804,65.87876849,0.006362833,0.03518417
ERO1LB,-2.306179215,4.713193982,162258.8472,0.000786962,0.006535847
CHTF18,-2.306179215,4.713193982,162258.8472,0.000786962,0.006535847
RNF157,-2.306179215,4.713193982,162258.8472,0.000786962,0.006535847
CDT1,-2.331887763,5.153800805,121541.1996,3.92E-05,0.00072748
B4GALNT4,-2.331887763,5.153800805,121541.1996,3.92E-05,0.00072748
FKBP1B,-2.331887763,5.153800805,264.4163345,0.001066051,0.008307064
MYBL2,-2.38743199,6.298349757,1423.642237,0.000119066,0.001520567
FABP5,-2.388710632,5.660817491,483.9036557,0.000486086,0.004466368
SVIP,-2.390264732,5.191280802,1174.561777,0.000153031,0.001842813
RAD54L,-2.392507068,4.763825349,553.8556179,0.000407733,0.003879345
XRCC3,-2.392507068,4.763825349,553.8556179,0.000407733,0.003879345
HIST1H2BJ,-2.392507068,4.763825349,553.8556179,0.000407733,0.003879345
AGT,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
EPOR,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
ST6GAL1,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
NRTN,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
DPF1,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
PDSS1,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
RAB6B,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
BEX1,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
RAET1L,-2.398659881,4.153737622,161.5858997,0.008696529,0.045269073
BAMBI,-2.42696392,5.68729481,676.2444118,0.000314362,0.003181432
NR4A1,-2.438157587,5.397753989,416.3991222,0.000591024,0.005193345
CRIP1,-2.446371123,5.22781197,127250.1574,1.07E-05,0.000314746
IL11,-2.457617898,5.03514987,210.072975,0.001436295,0.010650593
SCN1B,-2.457617898,5.03514987,210.072975,0.001436295,0.010650593
ISG20,-2.473959599,4.812740243,167686.0416,0.000206805,0.002343485
HIST1H2AM,-2.473959599,4.812740243,167686.0416,0.000206805,0.002343485
SLC4A11,-2.473959599,4.812740243,167686.0416,0.000206805,0.002343485
IFI6,-2.490459175,9.550569639,82637.36914,5.91E-07,7.51E-05
ZIK1,-2.499873125,4.549688808,83.18402534,0.004729471,0.027586079
IFIT2,-2.500646162,6.095826879,5257.519329,2.16E-05,0.000494307
ORC6,-2.513849845,5.606368383,112481.0525,3.95E-07,7.03E-05
APOE,-2.514284204,6.475936793,9102.453028,1.06E-05,0.000312765
