mRNA,logFC,logCPM,F,PValue,FDR
SLC25A11,-1.106548988,6.445080067,1591.865318,0.000437368,0.004111011
TMEM57,-1.107889584,5.490804505,150.2937431,0.015053772,0.068597241
DNAJA2,-1.10865952,7.245892938,28368.47923,2.39E-06,0.000121079
MRPL18,-1.108986461,7.707050216,518.8310377,0.000443931,0.00415314
SUPV3L1,-1.110283134,5.71321131,23921.64554,0.00774203,0.041439979
CCDC93,-1.110283134,5.71321131,23921.64554,0.00774203,0.041439979
KIAA0101,-1.111999421,5.905870765,264.7367149,0.004021173,0.024325449
ARMC6,-1.11199974,5.905870585,297.7962801,0.004021173,0.024325449
GRPEL1,-1.114297014,6.227827239,496.6908359,0.001107698,0.008589994
CYSTM1,-1.116315154,6.606381751,543.5935257,0.000417785,0.003954518
RANBP1,-1.117059639,7.934125753,818.2411587,0.00024521,0.00264371
ESF1,-1.125919404,5.788506053,348.1514404,0.005427265,0.030884491
PRKCD,-1.12656406,5.578273965,454.171922,0.010491493,0.050375603
CLP1,-1.12656406,5.578273965,454.171922,0.010491493,0.050375603
BAHD1,-1.12656406,5.578273965,454.171922,0.010491493,0.050375603
GGA2,-1.12656406,5.578273965,454.171922,0.010491493,0.050375603
SORD,-1.127499004,5.332099172,171.0341372,0.020511827,0.086524984
TOP3A,-1.127499004,5.332099172,171.0341372,0.020511827,0.086524984
INPP5F,-1.127499004,5.332099172,171.0341372,0.020511827,0.086524984
SLC26A11,-1.127499004,5.332099172,171.0341372,0.020511827,0.086524984
ESRRA,-1.127499323,5.332098991,192.2902433,0.020511827,0.086524984
GEMIN4,-1.127499323,5.332098991,192.2902433,0.020511827,0.086524984
FEM1A,-1.127499323,5.332098991,192.2902433,0.020511827,0.086524984
FAM89A,-1.127499323,5.332098991,192.2902433,0.020511827,0.086524984
NECAB3,-1.127499323,5.332098991,55.02501278,0.020511827,0.086524984
ISOC1,-1.128978637,5.035103043,184.9091095,0.040751135,0.146751614
SAP130,-1.128978637,5.035103043,184.9091095,0.040751135,0.146751614
FASTKD1,-1.128978637,5.035103043,184.9091095,0.040751135,0.146751614
ATG4D,-1.128978637,5.035103043,184.9091095,0.040751135,0.146751614
C19orf24,-1.132475772,6.578366233,199.4183146,0.001536371,0.01095588
HSP90AA1,-1.133096362,10.68605888,7192.943113,1.44E-05,0.000391479
RPS19BP1,-1.134794427,7.98839337,676.5241215,0.000314193,0.003181432
HAT1,-1.135707689,7.004036382,3616.208146,3.52E-05,0.000676955
CYCS,-1.137633139,6.035166829,334.136419,0.001995075,0.01358868
VPS18,-1.137633139,6.035166829,334.136419,0.001995075,0.01358868
CHCHD7,-1.139870405,5.860065749,184.5702679,0.003809061,0.023249902
PPM1G,-1.141581646,7.674335979,2578.482596,5.48E-05,0.000886675
IFIT3,-1.143550274,6.381652221,1564.205693,0.000394302,0.003793614
HIST1H1C,-1.143818519,6.860178546,326.0419679,0.000812242,0.006721482
HSP90AB1,-1.144523913,10.21975757,5805.298774,1.90E-05,0.000451291
HMOX1,-1.14585549,6.245754432,880.21842,0.000743278,0.006254328
CBX4,-1.14713987,5.429402813,28601.74427,0.014219468,0.065444124
CD2AP,-1.14713987,5.429402813,28601.74427,0.014219468,0.065444124
DDX58,-1.14713987,5.429402813,28601.74427,0.014219468,0.065444124
GPR89B,-1.14713987,5.429402813,28601.74427,0.014219468,0.065444124
FGFRL1,-1.14713987,5.429402813,28601.74427,0.014219468,0.065444124
RHBDD3,-1.14713987,5.429402813,93.87555013,0.014219468,0.065444124
ATP5G1,-1.147232967,6.660841419,829.368263,0.00024093,0.00261498
SEC23B,-1.148724781,6.095714803,1045.186795,0.001406872,0.01049285
PIK3C2A,-1.148724781,6.095714803,1045.186795,0.001406872,0.01049285
ACO2,-1.149974627,7.172824575,29760.93378,2.24E-06,0.000117403
ACYP1,-1.15364256,5.153754162,84.96021336,0.027959896,0.111157424
RPA3,-1.153642879,5.153753981,90.48110729,0.027959896,0.111157424
MRPS2,-1.155041371,6.298228462,23966.94941,0.000525938,0.00471476
UBE2C,-1.157255223,5.738751511,83.01525638,0.005122348,0.029516556
ATP6V0A1,-1.158864167,6.153824189,472.9855255,0.000992768,0.007864553
ZMYND19,-1.158864167,6.153824189,472.9855255,0.000992768,0.007864553
WBSCR22,-1.16328128,7.413887083,33158.78977,1.95E-06,0.000108255
NOP16,-1.168168786,6.209684034,1280.936,0.000701001,0.005948577
MED17,-1.1739715,5.263385093,297.8467017,0.01926122,0.082539844
MYBBP1A,-1.181429385,5.883154651,809.3180904,0.002515337,0.016478334
NUP205,-1.181429385,5.883154651,809.3180904,0.002515337,0.016478334
NUSAP1,-1.181429385,5.883154651,809.3180904,0.002515337,0.016478334
SMIM4,-1.181665272,6.75146227,507.7768899,0.000456553,0.004246534
THOP1,-1.183309507,6.115348897,25209.0083,0.00093337,0.007528368
ATP1B3,-1.185251601,8.770812017,11321.20245,7.94E-06,0.000264856
EZR,-1.187003207,7.647625604,3192.815863,4.15E-05,0.000758387
RRAGC,-1.187606091,6.917226644,3554.464434,3.61E-05,0.000687529
TFAM,-1.190245809,4.950212996,96.77475154,0.038079106,0.13932372
ZNF544,-1.190245809,4.950212996,96.77475154,0.038079106,0.13932372
RAD51C,-1.190245809,4.950212996,30.65427398,0.038079106,0.13932372
CDCA4,-1.190246128,4.950212816,104.9672767,0.038079106,0.13932372
SFXN4,-1.191017107,5.365271328,127.5744646,0.013313798,0.061873114
CHD1,-1.191017426,5.365271147,137.5079072,0.013313798,0.061873114
C16orf91,-1.191017426,5.365271147,137.5079072,0.013313798,0.061873114
RFC4,-1.191431218,5.687220244,323.9996292,0.004801896,0.02791997
NUP88,-1.191689929,5.950275281,359.3855963,0.001765823,0.012260751
UBB,-1.195925146,10.57228681,8357.809619,1.18E-05,0.000339757
HAGH,-1.198814599,6.413724179,225.9993741,0.001306621,0.009836332
DNAJA1,-1.200550776,9.099150071,1164.022366,0.000154841,0.001855098
CTSF,-1.202634854,7.34903105,1848.360202,8.47E-05,0.001191445
ENDOG,-1.20274545,5.763847962,178.6822972,0.003356152,0.020791022
PIM3,-1.20274545,5.763847962,27546.41069,0.003356152,0.020791022
KIF22,-1.20274545,5.763847962,27546.41069,0.003356152,0.020791022
GOT1,-1.205170162,6.460524636,812.8136714,0.000247347,0.002662288
ZCCHC14,-1.205516838,5.460435,436.7245741,0.009229351,0.047485788
PSMG3,-1.205516838,5.460435,436.7245741,0.009229351,0.047485788
PPIF,-1.207490126,6.800801681,3152.702977,4.22E-05,0.000764834
NOC4L,-1.210431168,5.07575032,58.06696076,0.026038466,0.105705825
BUB1,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
DGAT1,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
KIAA0226,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
CNOT6,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
ZFYVE27,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
KIFC2,-1.210431168,5.07575032,37022.11066,0.026038466,0.105705825
MT1G,-1.210431487,5.07575014,32.85765351,0.026038466,0.105705825
POR,-1.212070563,6.836727853,1159.60454,0.000155611,0.001859966
POLE3,-1.213675561,6.332186363,26481.2375,0.000231575,0.002558592
