Gene_Symbol,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
POLR2B,32.41374738,32.48400136,29.17621252,27.85348507
POMC,0.014607739,0.030742281,0.323461551,0.551306555
PON3,0.03054011,0.048204206,0.380393229,0.476721085
POR,20.7410609,19.83393773,36.7821022,36.0976639
PPIB,324.3932012,321.0299281,257.6512457,262.84439
PPIC,61.38234718,63.03775515,16.51484179,18.01934732
PPP3CA,15.33638471,14.31051188,6.699626479,6.725495287
PPP3R1,22.71064414,22.39119773,21.09566742,20.28225133
PRIM1,2.786461254,2.879723203,5.663964978,5.530173269
PRL,0,0,0.018493278,0.033373979
PRLR,0.054378815,0.051930442,0.025559129,0.036515939
PRRG1,5.895580358,5.873878053,1.9437065,2.279026295
PRRG2,0.104445861,0.329712614,0.650464229,0.586931607
PTAFR,0.021411156,0.036048165,0.165938746,0.128340904
PTGDR,0,0.006504782,0,0.054037032
PTGDS,26.56323856,27.26796747,3.409641277,3.468181116
PTGER1,1.279847678,1.144722674,0.371960867,0.258914904
PTGER2,0.336871093,0.231683652,1.249326187,1.39449752
PTGER4,0.163268,0.141922062,1.429406991,1.143527724
PTGIR,5.989558289,6.293398744,1.013530952,1.088734059
PTGIS,45.75477606,45.06387689,0.828796259,0.893766525
PTGS1,19.36322673,18.95350974,3.67625383,3.53802919
PTGS2,3.90205133,3.699918652,3.331265221,3.346244606
RARA,10.2271212,10.42321516,6.251462066,6.136486191
RARB,4.687633616,4.534939809,0.888200665,0.860997966
RARG,28.52978642,28.87437876,10.49924771,9.879447572
RPL3,891.0486337,901.677077,205.6939268,208.3792968
RPL4,901.8686498,906.8793026,256.0485221,252.8049199
RPL5,508.2967646,507.1354393,182.9640186,174.6389411
RPL6,562.6041231,550.6224207,273.3803198,268.131754
RPL7,957.0588375,965.4141011,349.9351838,347.4257261
RPL7A,926.3945175,929.0785377,369.9611938,364.6943079
RPL8,499.3876904,496.2952965,233.9455309,240.5029214
RPL11,533.9909813,522.4661491,240.6571162,250.0716694
RPL12,743.895392,737.7326542,213.5454261,214.3091835
RPL13,195.7746201,195.7520745,66.47071635,67.52553366
RPL23,990.6778327,989.710427,314.7695733,315.7497081
RPL18,270.8858693,274.1541646,136.2323098,141.5062966
RPL18A,465.642918,475.4226111,147.4713968,149.2968521
RPL19,601.2024671,610.1248127,287.3157173,288.4482199
RPL21,688.9988347,701.1110033,278.4415148,265.770775
RPL22,165.4954756,163.9699618,57.64204108,59.04966968
RPL23A,503.1573326,513.3206558,185.3709799,179.3622093
RPL24,664.7128982,653.2823509,319.7000339,315.2867673
